S,mean_relative_median_cpu_time,mean_comparisons
2,1.1654916637892765,33524799.75
4,1.0728007342630241,33560557.0
8,1.0421052631578946,33804701.25
12,1.0382916053019144,34483601.25
16,1.0,34921343.75
20,1.0390977443609022,36913135.0
24,1.0030075187969925,36944734.0
32,1.07160711643213,38076334.75
48,1.0810171515950138,42962654.0
64,1.2243441311808105,45583931.0
